N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
106,일진머티리얼즈,"63,400","1,000",-1.55%,500,"29,234","46,111",10.15,"240,247",52.44,7.85,
107,쌍용C&E,"5,730",50,-0.87%,100,"28,871","503,860",2.57,"493,700",43.74,11.12,
108,현대오토에버,"104,500","2,300",-2.15%,500,"28,658","27,424",2.20,"24,819",31.89,7.26,
109,한진칼,"41,300",300,-0.72%,"2,500","27,573","66,762",17.06,"84,545",2.91,1.11,
110,현대해상,"30,800","1,350",-4.20%,500,"27,535","89,400",35.23,"433,655",5.06,8.82,
111,씨에스윈드,"65,000","3,500",-5.11%,500,"27,411","42,171",11.51,"482,614",218.12,10.13,
112,롯데쇼핑,"95,400","1,100",-1.14%,"5,000","26,987","28,289",12.61,"27,788",-5.20,-2.94,
113,키움증권,"98,300",900,-0.91%,"5,000","25,774","26,220",25.60,"55,950",5.09,25.38,
114,제일기획,"21,900",200,-0.90%,200,"25,194","115,041",34.34,"228,382",12.78,15.58,
115,KODEX 종합채권(AA-이상)액티브,"104,755",230,+0.22%,0,"24,688","23,567",0.00,"19,819",N/A,N/A,
116,한전기술,"64,300",200,-0.31%,200,"24,575","38,220",2.83,"205,897",121.09,3.25,
117,한화시스템,"12,800",50,+0.39%,"5,000","24,182","188,919",3.23,"1,204,273",-266.67,6.04,
118,CJ,"82,800","1,800",-2.13%,"5,000","24,159","29,177",17.94,"40,138",8.41,5.66,
119,한화생명,"2,720",155,-5.39%,"5,000","23,624","868,530",6.85,"3,307,351",2.20,10.79,
120,서울가스,"472,000",0,0.00%,"5,000","23,600","5,000",4.59,"15,443",111.80,0.80,
121,한솔케미칼,"208,000","2,000",+0.97%,"5,000","23,577","11,335",39.56,"33,202",16.50,23.88,
122,LG화학우,"305,500","4,000",-1.29%,"5,000","23,489","7,689",70.56,"16,836",10.75,N/A,
123,대우조선해양,"21,850",800,+3.80%,"5,000","23,443","107,291",2.74,"832,756",-1.37,-55.86,
124,KODEX 200선물인버스2X,"2,820",90,+3.30%,0,"23,403","829,900",0.65,"160,738,169",N/A,N/A,
125,BNK금융지주,"7,120",130,-1.79%,"5,000","23,207","325,935",36.53,"1,837,648",2.86,8.76,
126,신세계,"232,000","3,500",-1.49%,"5,000","22,841","9,845",25.96,"42,027",7.69,8.54,
127,동원산업,"45,550",650,-1.41%,"1,000","22,767","49,983",2.34,"22,762",4.14,12.59,
128,휠라홀딩스,"37,450",150,+0.40%,"1,000","22,752","60,752",43.77,"187,843",10.56,16.20,
129,에스원,"59,100",200,-0.34%,500,"22,458","37,999",54.06,"55,464",17.64,9.13,
130,LS,"69,200",600,-0.86%,"5,000","22,282","32,200",13.42,"73,470",5.56,8.15,
131,TIGER MSCI Korea TR,"13,585",215,-1.56%,0,"21,790","160,400",0.01,"7,992",N/A,N/A,
132,두산퓨얼셀,"32,700",250,-0.76%,100,"21,416","65,494",14.82,"279,973",654.00,1.69,
133,OCI,"89,600","1,000",-1.10%,"5,000","21,369","23,849",15.05,"175,502",2.65,23.93,
134,현대차우,"86,800",900,+1.05%,"5,000","21,142","24,357",58.24,"113,047",3.87,N/A,
135,한미사이언스,"30,150",350,-1.15%,500,"21,092","69,957",2.22,"68,741",41.59,6.37,
136,한화,"27,800",500,-1.77%,"5,000","20,839","74,959",18.14,"118,808",2.00,20.22,
